transaction_id,card_id,merchant_name,timestamp,amount,location,transaction_type,related_transaction_id
1,26,Jones-Gonzalez,2025-04-01 01:14:31,341.12,"7149 Richard Roads, Schenectady, NY 19927",p2p_transfer,
2,4,Hicks-Martinez,2025-04-01 01:47:44,-171.25,"9036 Jimenez Freeway, Danielland, IL 69303",refund,
3,27,Thomas-Rodriguez,2025-04-01 01:52:16,171.35,"3087 Richard Light, Cheektowaga, NY 18302",wire_transfer,
4,33,Castillo-Anderson,2025-04-01 02:00:58,-221.61,"508 Savage Wall, Utica, NY 17434",refund,
5,53,"Morrow, Shannon and Thornton",2025-04-01 02:01:13,-486.82,"222 English Glens, Schenectady, NY 10497",refund,
6,52,"Thompson, May and Williams",2025-04-01 02:17:00,228.85,"513 Michele Fords, Utica, NY 16509",bill_payment,
7,30,"Wong, Lewis and Arias",2025-04-01 02:41:55,198.56,"6995 Mary Ville, Mayerburgh, IL 69342",p2p_transfer,
8,34,"Hansen, Mccann and Davies",2025-04-01 03:03:41,279.22,"341 Steven Highway, Staten Island, NY 13075",wire_transfer,
9,50,"Cook, Munoz and Osborne",2025-04-01 03:10:51,-245.98,"6852 Brown Oval, Schenectady, NY 12073",refund,
10,33,"Smith, Frazier and Miller",2025-04-01 03:38:28,127.36,"9965 Stevenson Crossroad, Brooklyn, NY 12436",purchase,
11,45,Little-Hernandez,2025-04-01 04:03:33,10.61,"1598 Taylor Mountains, Troy, NY 10141",purchase,
12,44,Smith-Black,2025-04-01 04:08:30,206.82,"8884 Michelle Mill, Youngshire, FL 30135",p2p_transfer,
13,9,Wagner-Hall,2025-04-01 04:35:11,69.7,"975 Duncan Union, Bronx, NY 16571",p2p_transfer,
14,26,"Moore, Rosales and Green",2025-04-01 04:42:30,105.34,"6077 Duke Ville, Buffalo, NY 11797",atm_withdrawal,
15,22,"White, Bradford and Greene",2025-04-01 04:48:34,-195.86,"1671 Abigail Plaza, Syracuse, NY 19973",refund,
16,37,Williams Inc,2025-04-01 04:49:07,400.14,"9632 Kirk Oval, Albany, NY 10437",wire_transfer,
17,13,Howard-Gonzalez,2025-04-01 04:50:54,386.71,"7785 Reese Plain, Staten Island, NY 13127",bill_payment,
18,24,Martinez-Bell,2025-04-01 05:01:56,-419.17,"9393 Ryan Parkways, Niagara Falls, NY 13260",refund,
19,45,"Lopez, Davis and Snyder",2025-04-01 05:03:53,73.0,"8126 Christopher Lights, North Jonathanport, CA 95001",atm_withdrawal,
20,45,Irwin PLC,2025-04-01 05:15:06,127.12,"6184 Lauren Grove, Staten Island, NY 16299",atm_withdrawal,
21,19,"Villarreal, Patterson and Taylor",2025-04-01 05:37:33,134.0,"7299 Brooks Cove, Rochester, NY 13628",bill_payment,
22,31,Price-Cruz,2025-04-01 05:38:59,48.18,"6718 Leah Islands, Staten Island, NY 12132",purchase,
23,41,Moore-Barnes,2025-04-01 06:04:54,390.29,"2288 Ryan Park, Bronx, NY 13092",p2p_transfer,
